Subject,Channel,Degree_Centrality,Clustering_Coefficient,Betweenness_Centrality,Eigenvector_Centrality,Connectivity_Type
sub-001,0,0.2222222222222222,0.6666666666666666,0.0273420479302832,0.1137367691927108,PLV
sub-001,1,0.1111111111111111,1.0,0.0,0.0437176392182694,PLV
sub-001,2,0.2222222222222222,1.0,0.0,0.1994977283607276,PLV
sub-001,3,0.2222222222222222,0.6666666666666666,0.0522875816993464,0.0318224140788429,PLV
sub-001,4,0.4444444444444444,0.6428571428571429,0.0620617944147356,0.3291128501523033,PLV
sub-001,5,0.3888888888888888,0.6190476190476191,0.1196969696969697,0.2771721669275462,PLV
sub-001,6,0.5,0.6111111111111112,0.1707763913646266,0.3564420859552553,PLV
sub-001,7,0.1666666666666666,1.0,0.0,0.0307293240396763,PLV
sub-001,8,0.1111111111111111,1.0,0.0,0.0089052673598725,PLV
sub-001,9,0.0555555555555555,0.0,0.0,0.0387822910777552,PLV
sub-001,10,0.2777777777777778,0.8,0.0043572984749455,0.1933415260489688,PLV
sub-001,11,0.3333333333333333,0.6,0.0815904139433551,0.1987077114799297,PLV
sub-001,12,0.4444444444444444,0.6785714285714286,0.1239354327589621,0.331954446124243,PLV
sub-001,13,0.3333333333333333,0.4,0.3660130718954248,0.155973794043343,PLV
sub-001,14,0.2222222222222222,1.0,0.0,0.1815511306651512,PLV
sub-001,15,0.4444444444444444,0.6785714285714286,0.1239354327589621,0.3319544461242428,PLV
sub-001,16,0.5555555555555556,0.5333333333333333,0.1916815210932857,0.3770955380410025,PLV
sub-001,17,0.2222222222222222,0.6666666666666666,0.0522875816993464,0.0318224140788427,PLV
sub-001,18,0.5,0.6111111111111112,0.0880867498514557,0.3631347523096576,PLV
sub-002,0,0.0,0.0,0.0,0.0,PLV
sub-002,1,0.0555555555555555,0.0,0.0,0.0,PLV
sub-002,2,0.1666666666666666,0.6666666666666666,0.0018674136321195,0.0,PLV
sub-002,3,0.3888888888888888,0.5714285714285714,0.1127450980392156,0.0,PLV
sub-002,4,0.1666666666666666,1.0,0.0,0.0,PLV
sub-002,5,0.3888888888888888,0.6190476190476191,0.0279286798894642,0.0,PLV
sub-002,6,0.0555555555555555,0.0,0.0,0.0,PLV
sub-002,7,0.5555555555555556,0.6222222222222222,0.0700624357487102,0.0,PLV
sub-002,8,0.2222222222222222,0.5,0.0980392156862745,0.0,PLV
sub-002,9,0.0555555555555555,0.0,0.0,0.0,PLV
sub-002,10,0.0,0.0,0.0,0.0,PLV
sub-002,11,0.5,0.7222222222222222,0.0389671693593262,0.0,PLV
sub-002,12,0.4444444444444444,0.6428571428571429,0.0433848286789463,0.0,PLV
sub-002,13,0.3888888888888888,0.7619047619047619,0.0312999273783587,0.0,PLV
sub-002,14,0.3888888888888888,0.8571428571428571,0.0108701393015118,0.0,PLV
sub-002,15,0.4444444444444444,0.7142857142857143,0.0300809212573918,0.0,PLV
sub-002,16,0.4444444444444444,0.5,0.1291740938799762,0.0,PLV
sub-002,17,0.5555555555555556,0.6666666666666666,0.0686826245649775,0.0,PLV
sub-002,18,0.5555555555555556,0.6222222222222222,0.140819021211178,0.0,PLV
sub-003,0,0.5,0.8055555555555556,0.0176237161531279,0.0,PLV
sub-003,1,0.4444444444444444,0.5714285714285714,0.0625972611266729,0.0,PLV
sub-003,2,0.0,0.0,0.0,0.0,PLV
sub-003,3,0.0555555555555555,0.0,0.0,0.0,PLV
sub-003,4,0.1666666666666666,1.0,0.0,0.0,PLV
sub-003,5,0.0,0.0,0.0,0.0,PLV
sub-003,6,0.4444444444444444,0.8214285714285714,0.0217864923747276,0.0,PLV
sub-003,7,0.1666666666666666,1.0,0.0,0.0,PLV
sub-003,8,0.5,0.8055555555555556,0.0176237161531279,0.0,PLV
sub-003,9,0.3333333333333333,0.9333333333333332,0.0021241830065359,0.0,PLV
sub-003,10,0.611111111111111,0.6,0.0942654839713663,0.0,PLV
sub-003,11,0.4444444444444444,0.8214285714285714,0.0217864923747276,0.0,PLV
sub-003,12,0.1111111111111111,0.0,0.0065359477124183,0.0,PLV
sub-003,13,0.4444444444444444,0.8928571428571429,0.0052287581699346,0.0,PLV
sub-003,14,0.0555555555555555,0.0,0.0,0.0,PLV
sub-003,15,0.4444444444444444,0.8214285714285714,0.0217864923747276,0.0,PLV
sub-003,16,0.5555555555555556,0.6888888888888889,0.0450513538748832,0.0,PLV
sub-003,17,0.2777777777777778,0.7,0.0167289137877373,0.0,PLV
sub-003,18,0.2222222222222222,0.8333333333333334,0.006730469965764,0.0,PLV
sub-004,0,0.1111111111111111,0.0,0.0268281101614434,0.0,PLV
sub-004,1,0.2777777777777778,0.6,0.0589631864141668,0.0,PLV
sub-004,2,0.3888888888888888,0.7142857142857143,0.0196078431372548,0.0,PLV
sub-004,3,0.3333333333333333,0.7333333333333333,0.0076252723311546,0.0,PLV
sub-004,4,0.4444444444444444,0.3928571428571428,0.3718647002960729,0.0,PLV
sub-004,5,0.4444444444444444,0.6428571428571429,0.0196078431372549,0.0,PLV
sub-004,6,0.2222222222222222,1.0,0.0,0.0,PLV
sub-004,7,0.2222222222222222,1.0,0.0,0.0,PLV
sub-004,8,0.0,0.0,0.0,0.0,PLV
sub-004,9,0.1111111111111111,1.0,0.0,0.0,PLV
sub-004,10,0.3888888888888888,0.7142857142857143,0.0163398692810457,0.0,PLV
sub-004,11,0.5555555555555556,0.5333333333333333,0.1753952293167979,0.0,PLV
sub-004,12,0.3888888888888888,0.6666666666666666,0.0680967543712642,0.0,PLV
sub-004,13,0.3333333333333333,0.7333333333333333,0.0292441763029998,0.0,PLV
sub-004,14,0.3333333333333333,0.6666666666666666,0.0650522317188983,0.0,PLV
sub-004,15,0.2777777777777778,0.9,0.0160326238757611,0.0,PLV
sub-004,16,0.3333333333333333,0.6,0.0766297972180325,0.0,PLV
sub-004,17,0.2777777777777778,0.7,0.0359477124183006,0.0,PLV
sub-004,18,0.3333333333333333,0.6666666666666666,0.0650522317188983,0.0,PLV
sub-005,0,0.2222222222222222,0.3333333333333333,0.1699346405228758,0.0,PLV
sub-005,1,0.1111111111111111,1.0,0.0,0.0,PLV
sub-005,2,0.0,0.0,0.0,0.0,PLV
sub-005,3,0.0,0.0,0.0,0.0,PLV
sub-005,4,0.3333333333333333,0.6,0.0483193277310924,0.0,PLV
sub-005,5,0.1111111111111111,1.0,0.0,0.0,PLV
sub-005,6,0.4444444444444444,0.7857142857142857,0.0173825085589791,0.0,PLV
sub-005,7,0.4444444444444444,0.6428571428571429,0.0464052287581699,0.0,PLV
sub-005,8,0.5,0.8055555555555556,0.0106909430438842,0.0,PLV
sub-005,9,0.2222222222222222,0.6666666666666666,0.0278867102396514,0.0,PLV
sub-005,10,0.5555555555555556,0.5777777777777777,0.2100840336134454,0.0,PLV
sub-005,11,0.0,0.0,0.0,0.0,PLV
sub-005,12,0.5555555555555556,0.6888888888888889,0.0335667600373482,0.0,PLV
sub-005,13,0.4444444444444444,0.7142857142857143,0.0225490196078431,0.0,PLV
sub-005,14,0.4444444444444444,0.8928571428571429,0.0051353874883286,0.0,PLV
sub-005,15,0.2222222222222222,0.8333333333333334,0.0009337068160597,0.0,PLV
sub-005,16,0.1111111111111111,1.0,0.0,0.0,PLV
sub-005,17,0.5,0.7777777777777778,0.0194055399937752,0.0,PLV
sub-005,18,0.5555555555555556,0.6666666666666666,0.0478369125427948,0.0,PLV
sub-006,0,0.0555555555555555,0.0,0.0,0.0,PLV
sub-006,1,0.3888888888888888,0.8095238095238095,0.0073244112459798,0.0,PLV
sub-006,2,0.2777777777777778,0.5,0.0350762527233115,0.0,PLV
sub-006,3,0.3888888888888888,0.8571428571428571,0.0062350866272434,0.0,PLV
sub-006,4,0.0,0.0,0.0,0.0,PLV
sub-006,5,0.0,0.0,0.0,0.0,PLV
sub-006,6,0.5,0.6111111111111112,0.0343759726112667,0.0,PLV
sub-006,7,0.5555555555555556,0.6888888888888889,0.0241259466749662,0.0,PLV
sub-006,8,0.3888888888888888,0.7619047619047619,0.0080143168378462,0.0,PLV
sub-006,9,0.2222222222222222,1.0,0.0,0.0,PLV
sub-006,10,0.3888888888888888,0.7142857142857143,0.0132793858284054,0.0,PLV
sub-006,11,0.3333333333333333,0.7333333333333333,0.0087768440709617,0.0,PLV
sub-006,12,0.0,0.0,0.0,0.0,PLV
sub-006,13,0.5,0.6388888888888888,0.0273679842307293,0.0,PLV
sub-006,14,0.5555555555555556,0.6666666666666666,0.034547152194211,0.0,PLV
sub-006,15,0.5555555555555556,0.6222222222222222,0.0410571636061832,0.0,PLV
sub-006,16,0.1666666666666666,0.3333333333333333,0.0849673202614379,0.0,PLV
sub-006,17,0.5,0.5555555555555556,0.1323685029567382,0.0,PLV
sub-006,18,0.0,0.0,0.0,0.0,PLV
sub-007,0,0.3888888888888888,0.7619047619047619,0.0169545596016184,0.2758256878951965,PLV
sub-007,1,0.2777777777777778,0.9,0.0021786492374727,0.2038555143802965,PLV
sub-007,2,0.3333333333333333,0.6666666666666666,0.0649859943977591,0.2420881694964733,PLV
sub-007,3,0.4444444444444444,0.5714285714285714,0.1097416744475567,0.2969650173312111,PLV
sub-007,4,0.3333333333333333,0.6666666666666666,0.0188997821350762,0.2157587078380956,PLV
